品目	紙名	発行日	年	見出し	備考
コメ	朝日	2012-04-21	2012	福島のコメ農家、３５億円賠償請求 原発ＡＤＲに３人が申し立て	５総合（全国面）
コメ	朝日	2012-04-06	2012	コメ作付け制限、福島知事に指示 野田政権	３社会（全国面）
コメ	朝日	2012-03-29	2012	コメ作付け自粛、代わりに試験田 南相馬市、正式決定 ／福島県	福島中会・１地方
コメ	朝日	2012-03-29	2012	コメ作付け自粛を正式決定 代わりに試験田 南相馬市 ／福島県	福島浜通り・１地方／中会版と同一記事
コメ	朝日	2012-03-10	2012	福島コメ、条件作付け４０００ヘクタール 農水省が区割り公表	５総合（全国面）／写真図表有
コメ	朝日	2012-03-09	2012	福島の６市町、コメ作付けへ １００～５００ベクレル地域	５総合（全国面）
コメ	朝日	2012-03-06	2012	コメ全袋検査装置を公開 メーカーが試作器 ／福島県	福島中会・１地方／写真図表有
コメ	朝日	2012-03-06	2012	野菜・コメなど、放射性物質の測定サービス 郡山３５カ所で開始 ／福島県	福島中会・１地方／写真図表有
コメ	朝日	2012-03-01	2012	事務膨大、不安の声も 福島でコメ作付け説明会 ／福島県	福島中会・１地方
コメ	朝日	2012-02-29	2012	コメ作付け地域拡大、評価とあきらめと 農家と自治体、販売は見通せず ／福島県	福島中会・１地方
コメ	朝日	2012-02-24	2012	「県は主体性発揮を」 コメ作付け制限めぐり、市町村から不満の声 ／福島県	福島中会・１地方
コメ	朝日	2012-02-11	2012	南相馬、今年もコメ断念 除染徹底、試験栽培は実施 ／福島県	福島中会・１地方
コメ	朝日	2012-02-08	2012	福島県がコメ調査結果を訂正	３社会（全国面）
コメ	朝日	2012-01-20	2012	「規制値超も作付け認めて」 食用以外前提に コメ巡り福島市、農水省に要望／福島県	福島中会・１地方
コメ	朝日	2012-01-19	2012	コメ緊急調査、県が誤った結果通知 郡山２８４農家、重大８戸に謝罪 ／福島県	福島中会・１地方
コメ	朝日	2012-01-05	2012	福島・伊達市の一部でコメ出荷停止	１社会（全国面）
コメ	朝日	2011-12-31	2011	福島のコメ、伊達の別地区もセシウム基準超	２社会（全国面）
コメ	朝日	2011-12-29	2011	福島のコメ農家１４戸、基準値超え セシウム検出問題	３社会（全国面）
コメ	朝日	2011-12-27	2011	コメ作付け禁止分、県内を優先に調整 市町村別目標決まる ／福島県	福島中会・１地方
コメ	朝日	2011-12-26	2011	土のカリウム濃度が関係 コメのセシウム値 福島県・農水省調査	２社会（全国面）
コメ	朝日	2011-12-23	2011	渡利地区のコメ、放射性セシウム１５４０ベクレル検出 ／福島県	福島中会・１地方
コメ	朝日	2011-12-19	2011	放射性セシウム基準値超え５．６％ 大波地区コメ全袋検査 ／福島県	福島中会・１地方
コメ	朝日	2011-12-18	2011	コメまた基準超セシウム 福島・渡利 ／福島県	福島中会・１地方
コメ	朝日	2011-12-18	2011	出回らぬコメ、悲嘆の福島 消費者も外食業者も敬遠	２社会（全国面）／写真図表有
コメ	朝日	2011-12-17	2011	首長・住民ら懐疑的 「コメと同じでは」 原発事故収束宣言 ／福島県	福島中会・１地方
コメ	朝日	2011-12-10	2011	福島のコメ、粗い検査 安全宣言後、相次ぐ基準値超え サンプル数少なく「漏れ」	２社会（全国面）／写真図表有
コメ	朝日	2011-12-10	2011	福島・伊達の２地区、コメ出荷停止 相馬と南相馬はキウイ	２社会（全国面）
コメ	朝日	2011-12-09	2011	福島・伊達のコメ、新たに２地区でセシウム基準超	２社会（全国面）
コメ	朝日	2011-12-08	2011	コメの生産目標「県内一律配分に」 県検討会議、意向調査後に調整も ／福島県	福島浜通り・１地方
コメ	朝日	2011-12-08	2011	コメ生産目標「一律配分に」 意向調査後に調整も 県検討会議 ／福島県	福島中会・１地方／浜通り版と同一記事
コメ	朝日	2011-12-08	2011	福島・二本松のコメ、１戸で基準値超え セシウム検出	２社会（全国面）
コメ	朝日	2011-12-07	2011	大波地区のコメ、全量購入「困難」 福島市に東電幹部 ／福島県	福島全県・２地方
コメ	朝日	2011-10-18	2011	セシウム基準超「まれなケース」 福島・二本松のコメ、県中間報告	２社会（全国面）
コメ	朝日	2011-10-13	2011	福島県知事が「コメ安全宣言」 県産米の検査終える	１総合（全国面・１面）／写真図表有
コメ	朝日	2011-10-13	2011	消費者の信用は？農家の心晴れず コメ出荷ＯＫ ／福島県	福島全県・１地方
コメ	朝日	2011-10-12	2011	福島のコメ出荷可能 全地点で放射性物質、基準値以下	夕刊１社会（全国面）
コメ	朝日	2011-10-07	2011	二本松のコメ、サンプル５点はセシウム検出せず ／福島県	福島全県・１地方
コメ	朝日	2011-09-30	2011	田んぼ１年放っておけぬ 作付け禁止でもコメあえて収穫 川内の避難準備区域／福島県	福島全県・１地方／写真図表有
コメ	朝日	2011-09-23	2011	６市町村のコメ、新たに出荷可能 ／福島県	福島全県・１地方
コメ	朝日	2011-09-22	2011	「地元のコメは」蔵元揺れる秋 放射線測定、安全ＰＲも ／福島県	福島全県・１地方／写真図表有
コメ	朝日	2011-09-15	2011	福島の蔵元、揺れる秋 地元のコメ使いたいけど…	夕刊１社会（全国面）／写真図表有
コメ	朝日	2011-09-10	2011	コメ価格、堅調 ＪＡ福島・宮城	２社会（全国面）
コメ	朝日	2011-08-05	2011	コメ放射性物質調査へ ４８市町村４０２地点で 県、より細かく ／福島県	福島全県・１地方
コメ	朝日	2011-05-24	2011	「お布団」がコメ育てます いわきの有機農法グループ、一風変わった田植え ／福島県	福島全県・１地方／写真図表有
コメ	朝日	2011-04-27	2011	被災地分コメ生産、１０市町引き受けへ 宮城・福島の６１７０トン ／秋田県	秋田全県・１地方
コメ	朝日	2011-04-22	2011	コメ作付け禁止 福島第一原発「警戒・計画・緊急」の避難域 菅政権	４総合（全国面）
コメ	朝日	2011-04-22	2011	豊かな地、奪われた コメ作付け禁止、１万ヘクタール・７千戸 福島第一原発事故	夕刊１社会（全国面）／写真図表有
コメ	朝日	2011-04-15	2011	コメ生産量、福島も調整へ 農地被害影響で	５総合（全国面）
コメ	朝日	2011-04-12	2011	避難準備区域もコメ作付け困難 農水相が表明 福島第一原発事故での放射能汚染	夕刊２社会（全国面）
コメ	朝日	2011-04-09	2011	コメ作付け禁止へ基準 放射能汚染、近く地域設定 福島原発３０キロ圏内も禁止	１総合（全国面・１面）
コメ	朝日	2011-04-08	2011	汚染地域のコメ作付け、鹿野農水相が禁止方針表明 福島第一原発事故	夕刊２総合（全国面）
コメ	朝日	2011-04-08	2011	コメ作付けに禁止区域 農水省、汚染推計もとに指定へ 福島原発事故の影響	３総合（全国面）
